Actresss,Year,Title [ a ],Role(s),Notes,Ref(s),,,
Ajay Devgn,2015,Drishyam,Yes,No,No,Vijay Salgaonkar,,[ 106 ]
Ajay Devgn,2016,Fitoor,Yes,No,No,Moazam,Cameo appearance,[ 107 ] [ 108 ]
Ajay Devgn,2016,Shivaay,Yes,Yes,Yes,Shivaay,,[ 109 ]
Ajay Devgn,2017,Guest in London,Yes,No,No,Ajay Gandotra,Cameo appearance,[ 110 ]
Ajay Devgn,2017,Baadshaho,Yes,No,No,Bhavani Singh,,[ 111 ]
Ajay Devgn,2017,Poster Boys,Yes,No,No,Himself,Guest appearance,[ 112 ]
Ajay Devgn,2017,Golmaal Again,Yes,No,No,Gopal Kumar Santoshi,,[ 113 ]
Ajay Devgn,2018,Aapla Manus,Yes,Yes,No,Himself,Guest appearance,[ 114 ]
Ajay Devgn,2018,Raid,Yes,No,No,Amay Patnaik,,[ 115 ]
Ajay Devgn,2018,Helicopter Eela,No,Yes,No,—,,[ 116 ]
Ajay Devgn,2018,Simmba,Yes,No,No,DCP Bajirao Singham,Cameo appearance,[ 117 ] [ 118 ]
Ajay Devgn,2019,Total Dhamaal,Yes,Yes,No,Guddu Rastogi,,[ 119 ] [ 120 ] [ 121 ]
Ajay Devgn,2019,De De Pyaar De,Yes,No,No,Ashish Mehra,,[ 122 ]
Ajay Devgn,2020,Tanhaji,Yes,Yes,No,Tanaji Malusare,100th film [ c ] [ 123 ],[ 124 ] [ 125 ]
Ajay Devgn,2020,Chhalaang,No,Yes,No,—,,[ 126 ]
Ajay Devgn,2021,Tribhanga,No,Yes,No,—,,[ 127 ]
Ajay Devgn,2021,The Big Bull,No,Yes,No,—,,[ 128 ]
Ajay Devgn,2021,Bhuj: The Pride of India,Yes,Yes,No,Squadron Leader Vijay Karnik,,[ 129 ]
Ajay Devgn,2021,Sooryavanshi,Yes,No,No,DCP Bajirao Singham,Cameo appearance,[ 130 ] [ 131 ]
Ajay Devgn,2021,Velle,Yes,Yes,No,Himself,Special appearance,
Ajay Devgn,2022,Gangubai Kathiawadi,Yes,No,No,Rahim Lala,Cameo appearance,[ 132 ]
Ajay Devgn,2022,RRR,Yes,No,No,Alluri Venkatarama Raju,Telugu film ; Special appearance,[ 133 ] [ 134 ]
Ajay Devgn,2022,Runway 34,Yes,Yes,Yes,Lieutenant Flight Captain Vikrant Khanna,,[ 135 ] [ 136 ]
Ajay Devgn,2022,Thank God,Yes,No,No,"Chitragupt ""CG""",,[ 137 ] [ 138 ]
Ajay Devgn,2022,Drishyam 2,Yes,No,No,Vijay Salgaonkar,,[ 139 ]
Ajay Devgn,2023,Bholaa,Yes,Yes,Yes,Bholaa,,[ 140 ]
Ajay Devgn,2024,Article 370,Yes,No,No,Narrator,,[ 141 ]
Ajay Devgn,2024,Shaitaan,Yes,Yes,No,Kabir Rishi,,[ 142 ]
Ajay Devgn,2024,Maidaan,Yes,No,No,Syed Abdul Rahim,,[ 143 ]
Ajay Devgn,2024,Auron Mein Kahan Dum Tha,Yes,No,No,Krishna,,[ 144 ]
Ajay Devgn,2024,Singham Again,Yes,Yes,No,DCP Bajirao Singham,,[ 145 ]
Ajay Devgn,2024,Naam,Yes,No,No,Shekhar / Michael & Amar Kumar [ b ],"Delayed release, Filmed in 2004",[ 146 ]
Ajay Devgn,2025,Azaad,Yes,No,No,Vikram Singh,Extended Cameo,
Ajay Devgn,2025,Chhaava,Yes,No,No,Narrator,,
Ajay Devgn,2025,Raid 2,Yes,No,No,Amay Patnaik,,[ 147 ]
Ajay Devgn,2025,Maa,No,Yes,No,—,Producer only,[ 148 ]
Ajay Devgn,2025,Son of Sardaar 2,Yes,Yes,No,Jaswinder Singh Randhawa (Jassi),,[ 149 ]
Ajay Devgn,2025,De De Pyaar De 2,Yes,No,No,"Ashish ""Ashu"" Mehra",,[ 150 ]
Ajay Devgn,2026,Shatak: Sangh Ke 100 Varsh,Yes,No,No,Narrator,,[ 151 ]
Ajay Devgn,2026,Dhamaal 4 †,Yes,Yes,No,TBA,Post-production,[ 152 ]
Ajay Devgn,2026,Drishyam 3 †,Yes,No,No,Vijay Salgaonkar,Filming,[ 153 ]
Ajay Devgn,2026,Ranger †,Yes,No,No,TBA,Filming,[ 154 ]
Ajay Devgn,TBA,Golmaal 5 †,Yes,No,No,Gopal Kumar Santoshi,Filming,[ 155 ]
Saif Ali Khan,1993,Parampara,Pratab Prithvi Singh,,[ 11 ],,,
Saif Ali Khan,1993,Aashik Awara,Jai (Jimmy aka Rakesh Rajpal) [ a ],Won— Filmfare Award for Best Male Debut,[ 12 ] [ 2 ],,,
Saif Ali Khan,1993,Pehla Nasha,Himself,Special appearance,[ 13 ],,,
Saif Ali Khan,1993,Pehchaan,Karan Verma,,[ 14 ],,,
Saif Ali Khan,1994,Imtihaan,Vicky,,[ 15 ],,,
Saif Ali Khan,1994,Yeh Dillagi,"Vikram ""Vicky"" Saigal [ b ]",,[ 16 ],,,
Saif Ali Khan,1994,Main Khiladi Tu Anari,Deepak Kumar,Nominated— Filmfare Award for Best Supporting Actor,[ 2 ] [ 17 ],,,
Saif Ali Khan,1994,Yaar Gaddar,Jai Verma,,[ 18 ],,,
Saif Ali Khan,1994,Aao Pyaar Karen,Raja,,[ 19 ],,,
Saif Ali Khan,1995,Surakshaa,Amar / Prince Vijay [ a ],,[ 20 ],,,
Saif Ali Khan,1996,Ek Tha Raja,Sunny Dogra,,[ 21 ],,,
Saif Ali Khan,1996,Bambai Ka Babu,"Vikram ""Vicky"" [ b ]",,[ 22 ],,,
Saif Ali Khan,1996,Tu Chor Main Sipahi,Raja,,[ 23 ],,,
Saif Ali Khan,1996,Dil Tera Diwana,Ravi Kumar,,[ 24 ],,,
Saif Ali Khan,1997,Hameshaa,Raja & Raju [ c ],,[ 28 ],,,
Saif Ali Khan,1997,Udaan,Raja,,[ 29 ],,,
Saif Ali Khan,1998,Keemat – They Are Back,Ajay,,[ 30 ],,,
Saif Ali Khan,1998,Humse Badhkar Kaun,Sunny,,[ 31 ],,,
Saif Ali Khan,1999,Yeh Hai Mumbai Meri Jaan,Raju Tarachand,,[ 32 ],,,
Saif Ali Khan,1999,Kachche Dhaage,"Dhananjay ""Jai"" Pandit [ b ]",Nominated—Filmfare Award for Best Supporting Actor,[ 2 ] [ 33 ],,,
Saif Ali Khan,1999,Aarzoo,Amar,,,,,
Saif Ali Khan,1999,Biwi No.1,Deepak Sharma,,[ 34 ],,,
Saif Ali Khan,1999,Hum Saath-Saath Hain,Vinod Chaturvedi,,[ 35 ],,,
Saif Ali Khan,2000,Kya Kehna,Rahul Modi,,[ 36 ],,,
Saif Ali Khan,2001,Love Ke Liye Kuch Bhi Karega,Prakash Singh,,[ 37 ],,,
Saif Ali Khan,2001,Dil Chahta Hai,Sameer Mulchandni,Won— Filmfare Award for Best Performance in a Comic Role,[ 2 ] [ 38 ],,,
Saif Ali Khan,2001,Rehna Hai Tere Dil Mein,"Rajiv ""Sam"" Saamra [ b ]",,[ 39 ],,,
Saif Ali Khan,2002,Na Tum Jaano Na Hum,Akshay Kapoor,,[ 40 ],,,
Saif Ali Khan,2003,Darna Mana Hai,Anil Manchandani,Story segment: No Smoking,[ 41 ],,,
Saif Ali Khan,2003,Kal Ho Naa Ho,Rohit Patel,Won— Filmfare Award for Best Supporting Actor,[ 2 ] [ 42 ],,,
Saif Ali Khan,2003,LOC Kargil,Captain Anuj Nayyar,,[ 43 ],,,
Saif Ali Khan,2004,Ek Hasina Thi,Karan Singh Rathod,,[ 44 ],,,
Saif Ali Khan,2004,Hum Tum,Karan Kapoor,Won— National Film Award for Best Actor Won—Filmfare Award for Best Performance in a Comic Role,[ 2 ] [ 45 ],,,
Saif Ali Khan,2005,Parineeta,Shekhar Rai,Nominated— Filmfare Award for Best Actor,[ 2 ] [ 46 ],,,
Saif Ali Khan,2005,Salaam Namaste,"Nikhil ""Nick"" Arora [ b ]",,[ 47 ],,,
Saif Ali Khan,2006,Being Cyrus,Cyrus Mistry,English film,[ 48 ],,,
Saif Ali Khan,2006,Omkara,"Ishwar ""Langda"" Tyagi",Won— Filmfare Award for Best Performance in a Negative Role,[ 2 ] [ 49 ],,,
Saif Ali Khan,2007,Eklavya: The Royal Guard,Harshvardhan Rana,,[ 50 ],,,
Saif Ali Khan,2007,Nehlle Pe Dehlla,Jimmy,,[ 51 ],,,
Saif Ali Khan,2007,Ta Ra Rum Pum,Rajveer Singh,,[ 52 ],,,
Saif Ali Khan,2007,Om Shanti Om,Himself,"Special appearance in the song ""Deewangi Deewangi""",[ 53 ],,,
Saif Ali Khan,2008,Race,"Ranvir ""Ronnie"" Singh [ b ]",,[ 54 ],,,
Saif Ali Khan,2008,Tashan,Jimmy Cliff / Jeetendra Kumar Makhwana,,[ 55 ],,,
Saif Ali Khan,2008,Thoda Pyaar Thoda Magic,Ranbir Talwar,,[ 56 ],,,
Saif Ali Khan,2008,Roadside Romeo,Romeo (voice),Animated feature film,[ 57 ],,,
Saif Ali Khan,2009,Sanam Teri Kasam,Vijay Verma,,[ 58 ],,,
Saif Ali Khan,2009,Love Aaj Kal,Jai Vardhan Singh/Young Veer Singh [ c ],Also producer,[ 2 ] [ 59 ],,,
Saif Ali Khan,2009,Love Aaj Kal,Jai Vardhan Singh/Young Veer Singh [ c ],Nominated—Filmfare Award for Best Actor Nominated— Filmfare Award for Best Film,[ 2 ] [ 59 ],,,
Saif Ali Khan,2009,Kurbaan,Ehsaan Khan  (Khalid) [ a ],,[ 60 ],,,
Saif Ali Khan,2011,Aarakshan,Deepak Kumar,,[ 61 ],,,
Saif Ali Khan,2012,Agent Vinod,Agent Vinod,Also producer,[ 62 ],,,
Saif Ali Khan,2012,Cocktail,"Gautam ""Gutlu"" Kapoor [ b ]",Also producer,[ 63 ],,,
Saif Ali Khan,2013,Race 2,"Ranvir ""Ronnie"" Singh [ b ]",,[ 64 ],,,
Saif Ali Khan,2013,Bombay Talkies,Himself,"Special appearance in the song "" Apna Bombay Talkies """,[ 65 ],,,
Saif Ali Khan,2013,Go Goa Gone,Boris,Also producer,[ 66 ],,,
Saif Ali Khan,2013,Bullett Raja,Raja Mishra,,[ 67 ],,,
Saif Ali Khan,2014,Humshakals,Ashok Singhania /  Ashok 2  / Chinku / Dr. Khan's assistant 1 [ d ],,[ 68 ],,,
Saif Ali Khan,2014,Lekar Hum Deewana Dil,–,Producer,[ 69 ],,,
Saif Ali Khan,2014,Happy Ending,Yudi Jaitely & Yogi [ c ],Also producer,[ 70 ],,,
Saif Ali Khan,2015,Dolly Ki Doli,Prince Kunwar Aditya Singh,Cameo appearance,[ 71 ],,,
Saif Ali Khan,2015,Phantom,Daniyal Khan,,[ 72 ],,,
Saif Ali Khan,2017,Rangoon,"Rustom ""Rusi"" Billimoria [ b ]",,[ 73 ],,,
Saif Ali Khan,2017,Chef,Roshan Kalra,,[ 74 ],,,
Saif Ali Khan,2018,Kaalakaandi,Rileen,,[ 75 ],,,
Saif Ali Khan,2018,Baazaar,Shakun Kothari,,[ 76 ],,,
Saif Ali Khan,2019,Laal Kaptaan,Gossain,,[ 77 ],,,
Saif Ali Khan,2020,Tanhaji,Udaybhan Singh Rathod,Won— Filmfare Award for Best Supporting Actor,[ 78 ],,,
Saif Ali Khan,2020,Jawaani Jaaneman,"Jaswinder ""Jazz"" Singh [ b ]",Also producer,[ 79 ],,,
Saif Ali Khan,2020,Dil Bechara,Abhimanyu Veer,Cameo appearance,[ 80 ],,,
Saif Ali Khan,2021,Bhoot Police,"Vibhooti ""Vibhu"" Vaidya",,[ 81 ],,,
Saif Ali Khan,2021,Bunty Aur Babli 2,"Rakesh ""Bunty Sr."" Trivedi/Bobby Bhullar [ a ]",,[ 82 ],,,
Saif Ali Khan,2022,Vikram Vedha,Vikram,,[ 83 ],,,
Saif Ali Khan,2023,Adipurush,Lankesh,Hindi- Telugu bilingual film,[ 84 ],,,
Saif Ali Khan,2024,Devara: Part 1,"Bhairava ""Bhaira""",Telugu film,[ 85 ],,,
Saif Ali Khan,2025,Jewel Thief,Rehan Roy,,[ 86 ],,,
Saif Ali Khan,2026,Kartavya,Pawan Malik,Netflix film,[ 87 ],,,
Saif Ali Khan,2026,Haiwaan †,TBA,Completed,[ 88 ] [ 89 ],,,
Sidharth Malhotra,2012,Student of the Year,,,,,,
Sidharth Malhotra,2014,Hasee Toh Phasee,,,,,,
Sidharth Malhotra,2014,Ek Villain,,,,,,
Sidharth Malhotra,2015,Brothers,,,,,,
Sidharth Malhotra,2016,Kapoor & Sons,,,,,,
Sidharth Malhotra,2016,Baar Baar Dekho,,,,,,
Sidharth Malhotra,2017,A Gentleman,,,,,,
Sidharth Malhotra,2017,Ittefaq,,,,,,
Sidharth Malhotra,2018,Aiyaary,,,,,,
Sidharth Malhotra,2019,Jabariya Jodi,,,,,,
Sidharth Malhotra,2019,Marjaavaan,,,,,,
Sidharth Malhotra,2021,Shershaah,,,,,,
Sidharth Malhotra,2022,Thank God,,,,,,
Sidharth Malhotra,2023,Mission Majnu,,,,,,
Sidharth Malhotra,2024,Yodha,,,,,,
Sidharth Malhotra,2025,Param Sundari †,,,,,,
Sidharth Malhotra,2026,Vvan: Force of the Forrest †,,,,,,
Neetu Singh,1966,Suraj,Geeta,Credited as Baby Sonia,[ 17 ],,,
Neetu Singh,1966,Dus Lakh,Roopa,Credited as Baby Sonia,[ 18 ],,,
Neetu Singh,1968,Do Kaliyan,Ganga and Jamuna,Dual role; credited as Baby Sonia,[ 18 ],,,
Neetu Singh,1968,Do Dooni Chaar,Ban Devi,Credited as Baby Sonia,,,,
Neetu Singh,1969,Waris,Munni,Credited as Baby Sonia,,,,
Neetu Singh,1970,Pavitra Papi,Vidya,Credited as Baby Sonia,,,,
Neetu Singh,1970,Ghar Ghar Ki Kahani,Roopa,Credited as Baby Sonia,,,,
Neetu Singh,1973,Rickshawala,Kiran,,[ 18 ],,,
Neetu Singh,1973,Yaadon Ki Baaraat,Dancer,Special appearance,[ 19 ],,,
Neetu Singh,1974,Shatranj Ke Mohre,,,,,,
Neetu Singh,1974,Aashiana,,Supporting role,,,,
Neetu Singh,1974,Hawas,Neetu,,,,,
Neetu Singh,1974,Zehreela Insaan,Margaret,,,,,
Neetu Singh,1975,Andolan,,,,,,
Neetu Singh,1975,Deewaar,Veera Narang,,,,,
Neetu Singh,1975,Khel Khel Mein,Nisha,,[ 18 ],,,
Neetu Singh,1975,Rani Aur Lalpari,Cinderella,Special appearance,,,,
Neetu Singh,1975,Rafoo Chakkar,Ritu,,[ 18 ],,,
Neetu Singh,1975,Zinda Dil,Jyoti Chand,,,,,
Neetu Singh,1975,Sewak,Rasiya,,,,,
Neetu Singh,1976,Maha Chor,Neetu,,,,,
Neetu Singh,1976,Kabhi Kabhie,Pinky Kapoor,,[ 18 ],,,
Neetu Singh,1976,Sharafat Chhod Di Main Ne,Radha,,,,,
Neetu Singh,1976,Shankar Dada,Roopa Verma,,,,,
Neetu Singh,1976,Sawa Lakh Se Ek Ladaun,Qawalan,Punjabi film; special appearance,,,,
Neetu Singh,1976,Dharti Mata,,Gujarati film; special appearance,,,,
Neetu Singh,1977,Adalat,Geeta Verma,,[ 18 ],,,
Neetu Singh,1977,Ab Kya Hoga,Chitralekha,,,,,
Neetu Singh,1977,Amar Akbar Anthony,Dr. Salma Ali,,[ 18 ],,,
Neetu Singh,1977,Dharam Veer,Roopa,,[ 18 ],,,
Neetu Singh,1977,Maha Badmaash,Seema Nathani and Pinky Nathani,Dual role,,,,
Neetu Singh,1977,Priyatama,Dolly Sinha,,[ 18 ],,,
Neetu Singh,1977,Doosara Aadmi,Timsy Karan Saxena,,[ 18 ],,,
Neetu Singh,1977,Parvarish,Neetu Amit Singh,,[ 18 ],,,
Neetu Singh,1977,Zahreelee,Rekha,,,,,
Neetu Singh,1978,Kasme Vaade,Neeta,,[ 18 ],,,
Neetu Singh,1978,Anjane Mein,Rani,,,,,
Neetu Singh,1978,Pati Patni Aur Patni,"Singer in ""Tere Naam Tere Naam""",Cameo,,,,
Neetu Singh,1978,Chakravyuha,Chhaya,,[ 18 ],,,
Neetu Singh,1978,Heeralaal Pannalaal,Neelam,,,,,
Neetu Singh,1979,Bhala Maanus,Meena,,,,,
Neetu Singh,1979,Aatish,Shanno,,,,,
Neetu Singh,1979,Jhoota Kahin Ka,Sheetal Khanna,,[ 18 ],,,
Neetu Singh,1979,The Great Gambler,Mala,,[ 18 ],,,
Neetu Singh,1979,Dhongee,Neelima Kapoor,,,,,
Neetu Singh,1979,Jaani Dushman,Gauri,,,,,
Neetu Singh,1979,Yuvraaj,Rajkumari Pallavi,,[ 18 ],,,
Neetu Singh,1979,Duniya Meri Jeb Mein,Neeta,,,,,
Neetu Singh,1979,Kaala Patthar,Channo,,[ 18 ],,,
Neetu Singh,1980,Kala Pani,Geeta,,,,,
Neetu Singh,1980,Dhan Daulat,Shanti,,[ 18 ],,,
Neetu Singh,1980,Chunaoti,Roshni,,,,,
Neetu Singh,1980,The Burning Train,Madhu,,,,,
Neetu Singh,1980,Choron Ki Baaraat,Anju,,,,,
Neetu Singh,1981,Waqt Ki Deewar,Soni,,,,,
Neetu Singh,1981,Khoon Ka Rishta,Sonia,,,,,
Neetu Singh,1981,Yaarana,Komal,,[ 18 ],,,
Neetu Singh,1981,Ek Aur Ek Gyarah,Rekha,,,,,
Neetu Singh,1982,Chorni,Deepa,,,,,
Neetu Singh,1982,Teesri Ankh,Nisha,,,,,
Neetu Singh,1982,Raaj Mahal,Rajkumari Ratna Singh,,,,,
Neetu Singh,1983,Ganga Meri Maa,Neetu,,,,,
Neetu Singh,1983,Jaane Jaan,Meena,,,,,
Neetu Singh,2009,Love Aaj Kal,Harleen Veer Singh Panesar,Cameo,,,,
Neetu Singh,2010,Do Dooni Chaar,Kusum Santosh Duggal,,,,,
Neetu Singh,2012,Jab Tak Hai Jaan,Pooja,Special appearance,,,,
Neetu Singh,2013,Besharam,Head Constable Bulbul,,,,,
Neetu Singh,2022,Jugjugg Jeeyo,Geeta Bheem Saini,,[ 20 ],,,
Neetu Singh,2026,Daadi Ki Shaadi,Vimla Ahuja,,[ 21 ],,,
Rishi Kapoor,1955,Shree 420,Himself,"Child artist; Guest appearance in the song ""Pyar Hua Iqrar Hua""",[ 5 ],,,
Rishi Kapoor,1970,Mera Naam Joker,Young Raju,Child artist,[ 6 ],,,
Rishi Kapoor,1973,Bobby,"Raj Nath ""Raja""",,[ 7 ],,,
Rishi Kapoor,1974,Zehreela Insaan,Arjun Singh,,[ 8 ],,,
Rishi Kapoor,1975,Khel Khel Mein,Ajay Anand,,[ 9 ],,,
Rishi Kapoor,1975,Rafoo Chakkar,Dev,,[ 10 ],,,
Rishi Kapoor,1975,Zinda Dil,Arun Sharma,,[ 11 ],,,
Rishi Kapoor,1975,Raaja,Raaja / Inspector Ram [ a ],Double Role,,,,
Rishi Kapoor,1976,Kabhie Kabhie,"Vikram Khanna ""Vicky""",,[ 12 ],,,
Rishi Kapoor,1976,Laila Majnu,Qais Al-Amri / Majnu,,[ 13 ],,,
Rishi Kapoor,1976,Rangila Ratan,Ratan / Kishan / Gopal,,,,,
Rishi Kapoor,1976,Ginny Aur Johnny,Himself,Guest appearance,,,,
Rishi Kapoor,1976,Barood,Anup D. Saxena (Pappu),,,,,
Rishi Kapoor,1977,Amar Akbar Anthony,Akbar Illhabadi,,[ 5 ],,,
Rishi Kapoor,1977,Hum Kisise Kum Naheen,Rajesh,,,,,
Rishi Kapoor,1977,Doosra Aadmi,Karan Saxena,,,,,
Rishi Kapoor,1977,Chala Murari Hero Banne,Himself,Guest appearance,[ 14 ],,,
Rishi Kapoor,1978,Naya Daur,Mahesh Chopra,,,,,
Rishi Kapoor,1978,Badaltey Rishtey,Manohar Dhani,,,,,
Rishi Kapoor,1978,Anjane Mein,Raja,,,,,
Rishi Kapoor,1978,Pati Patni Aur Woh,Singer,"Guest appearance in the song ""Tere Naam Tere Naam - Dil Karta Hai Ke Dil...""",,,,
Rishi Kapoor,1978,Phool Khile Hain Gulshan Gulshan,Vishal Rai,,,,,
Rishi Kapoor,1979,Sargam,Raju,,,,,
Rishi Kapoor,1979,Jhoota Kahin Ka,Ajay Rai,,,,,
Rishi Kapoor,1979,Duniya Meri Jeb Mein,Vishal Khanna,,,,,
Rishi Kapoor,1979,Salaam Memsaab,Ramesh,Cameo appearance,,,,
Rishi Kapoor,1980,Do Premee,Chetan Prakash,,,,,
Rishi Kapoor,1980,Dhan Daulat,Lucky R. Saxena,,,,,
Rishi Kapoor,1980,Aap Ke Deewane,Ram,,,,,
Rishi Kapoor,1980,Karz,Monty Oberoi,,[ 15 ],,,
Rishi Kapoor,1980,Gunahgaar,Amar,,,,,
Rishi Kapoor,1980,Ek Do Teen Chaar,,,,,,
Rishi Kapoor,1981,Naseeb,Sunny,,[ 16 ],,,
Rishi Kapoor,1981,Biwi-O-Biwi,Singer In Hotel,Guest appearance,,,,
Rishi Kapoor,1982,Yeh Vaada Raha,Vikram Rai Bahadur,,,,,
Rishi Kapoor,1982,Katilon Ke Kaatil,Ashok / Munna,,[ 17 ],,,
Rishi Kapoor,1982,Zamaane Ko Dikhana Hai,Ravi Nanda,,,,,
Rishi Kapoor,1982,Prem Rog,Devdhar (Dev),,[ 18 ],,,
Rishi Kapoor,1982,Deedar-E-Yaar,Javed Sayeed Ali Khan,,[ 19 ],,,
Rishi Kapoor,1983,Bade Dilwala,Amrit Kumar Saxena / Vijay Kumar Gupta,,,,,
Rishi Kapoor,1983,Coolie,"Sunny ""Tinguji""",,[ 20 ],,,
Rishi Kapoor,1983,Naukar Biwi Ka,Himself,Guest appearance,,,,
Rishi Kapoor,1984,Aan Aur Shaan,Vijay Singh,,,,,
Rishi Kapoor,1984,Duniya,Ravi Kumar,,,,,
Rishi Kapoor,1984,Yeh Ishq Nahin Aasaan,Salim Ahmed Salim,,,,,
Rishi Kapoor,1985,Zamana,Ravi S. Kumar,,,,,
Rishi Kapoor,1985,Tawaif,Dawood Mohammed Ali Khan Yusuf Zahir,,,,,
Rishi Kapoor,1985,Rahi Badal Gaye,Amar Lal / Pawan Kumar Saxena [ a ],,,,,
Rishi Kapoor,1985,Sitamgar,Jai Kumar,,,,,
Rishi Kapoor,1985,Saagar,Ravi,,[ 21 ],,,
Rishi Kapoor,1985,Ram Tere Kitne Nam,Himself,Guest appearance,,,,
Rishi Kapoor,1986,Pahunche Huwey Log,Himself,Guest Appearance,,,,
Rishi Kapoor,1986,Allah Rakha,Himself,Guest appearance,,,,
Rishi Kapoor,1986,Ek Chadar Maili Si,Mangal,,,,,
Rishi Kapoor,1986,Dosti Dushmani,Prakash,,,,,
Rishi Kapoor,1986,Nagina,Rajiv,,,,,
Rishi Kapoor,1986,Naseeb Apna Apna,Kishan Singh,,,,,
Rishi Kapoor,1987,Pyar Ke Kabil,Amar Kapoor,,,,,
Rishi Kapoor,1987,Hawalaat,Shyam,,,,,
Rishi Kapoor,1987,Khudgarz,Singing Tramp,Guest appearance,,,,
Rishi Kapoor,1987,Khazana,Singer,Guest appearance,,,,
Rishi Kapoor,1987,Sindoor,Kumar,Cameo appearance,,,,
Rishi Kapoor,1987,Raj Kapoor,Himself,Documentary,,,,
Rishi Kapoor,1988,Ghar Ghar Ki Kahani,Ram,,,,,
Rishi Kapoor,1988,Vijay,Vikram Bhardwaj,,,,,
Rishi Kapoor,1988,Janam Janam,Sunil / Vinay [ a ],,,,,
Rishi Kapoor,1988,Hamara Khandaan,Vishal,,,,,
Rishi Kapoor,1988,Akarshan,Himself,Guest appearance,,,,
Rishi Kapoor,1989,Bade Ghar Ki Beti,Gopal,,,,,
Rishi Kapoor,1989,Paraya Ghar,Arun,,,,,
Rishi Kapoor,1989,Khoj,Ravi Kapoor,,,,,
Rishi Kapoor,1989,Chandni,Rohit Gupta,,[ 22 ],,,
Rishi Kapoor,1989,Naqab,Imran,,,,,
Rishi Kapoor,1989,Hathyar,Samiullah Khan,,[ 23 ],,,
Rishi Kapoor,1989,Gharana,Vijay Mehra,,,,,
Rishi Kapoor,1989,Nigahen,Rajiv,Cameo appearance,,,,
Rishi Kapoor,1989,Apna Ghar,N/A,,,,,
Rishi Kapoor,1990,Amiri Garibi,Deepak Bhardwaj,,,,,
Rishi Kapoor,1990,Azaad Desh Ke Gulam,Vijay Shrivastav,,,,,
Rishi Kapoor,1990,Sher Dil,Sanjay Saxena,,,,,
Rishi Kapoor,1990,Sheshnaag,Bhola,,,,,
Rishi Kapoor,1991,Ajooba,Hassan,,,,,
Rishi Kapoor,1991,Henna,Chandar Prakash,,,,,
Rishi Kapoor,1991,Ranbhoomi,Bhola,,,,,
Rishi Kapoor,1991,Banjaran,Kumar Singh Sesodia / Suraj [ a ],,,,,
Rishi Kapoor,1991,Ghar Parivar,Birju,,,,,
Rishi Kapoor,1992,Kasak,Vijay,,[ 24 ],,,
Rishi Kapoor,1992,Inteha Pyar Ki,Rohit Shankar Walia,,,,,
Rishi Kapoor,1992,Deewana,Ravi,,,,,
Rishi Kapoor,1992,Bol Radha Bol,Kishan Malhotra / Tony [ a ],Double Role,[ 25 ],,,
Rishi Kapoor,1992,Honeymoon,Suraj Verma,,,,,
Rishi Kapoor,1992,Rishta To Ho Aisa,Vijay,,,,,
Rishi Kapoor,1993,Shreemaan Aashique,Dushant Kumar Mehra,,,,,
Rishi Kapoor,1993,Damini,Shekhar Gupta,,[ 26 ],,,
Rishi Kapoor,1993,Izzat Ki Roti,Krishna,,,,,
Rishi Kapoor,1993,Dhartiputra,Shiva,Cameo appearance,,,,
Rishi Kapoor,1993,Anmol,Prem,,[ 27 ],,,
Rishi Kapoor,1993,Gurudev,Inspector Dev Kumar,,,,,
Rishi Kapoor,1993,Sahibaan,Gopi,,,,,
Rishi Kapoor,1993,Sadhna,Karan,,,,,
Rishi Kapoor,1994,Saajan Ka Ghar,Amar Khanna,,,,,
Rishi Kapoor,1994,Pehla Pehla Pyar,Raj,,[ 28 ],,,
Rishi Kapoor,1994,Mohabbat Ki Arzoo,Raja,,[ 29 ],,,
Rishi Kapoor,1994,Eena Meena Deeka,"Indar ""Eena""",,[ 30 ],,,
Rishi Kapoor,1994,Prem Yog,Yuvraaj,,[ 31 ],,,
Rishi Kapoor,1994,Ghar Ki Izzat,Mohan Kumar,,,,,
Rishi Kapoor,1995,Saajan Ki Baahon Mein,Sagar,,,,,
Rishi Kapoor,1995,Hum Dono,Rajesh,,,,,
Rishi Kapoor,1995,Yaraana,Raj,,,,,
Rishi Kapoor,1996,Prem Granth,Somen,,,,,
Rishi Kapoor,1996,Daraar,Raj Malhotra,,[ 32 ],,,
Rishi Kapoor,1997,Kaun Sachcha Kaun Jhootha,CBI Officer Karan,,[ 33 ],,,
Rishi Kapoor,1999,Jai Hind,Gulroz,,[ 34 ],,,
Rishi Kapoor,2000,Karobaar,Amar Saxena / Rohit Sinha [ a ],,[ 35 ],,,
Rishi Kapoor,2000,Raju Chacha,Siddhant Rai,,[ 36 ],,,
Rishi Kapoor,2001,Kuch Khatti Kuch Meethi,Raj Khanna,,[ 37 ],,,
Rishi Kapoor,2002,Yeh Hai Jalwa,Rajesh Mittal,,[ 38 ],,,
Rishi Kapoor,2003,Kucch To Hai,Bakshi,,[ 39 ],,,
Rishi Kapoor,2003,Love at Times Square,Satellite Channel CEO,Cameo appearance,[ 40 ],,,
Rishi Kapoor,2003,Tehzeeb,Anwar Jamaal,,[ 41 ],,,
Rishi Kapoor,2004,Hum Tum,Arjun Kapoor,,[ 42 ],,,
Rishi Kapoor,2005,Pyaar Mein Twist,Yash Khurana,,[ 43 ],,,
Rishi Kapoor,2006,Fanaa,Zulfikar Ali Beg,,[ 44 ],,,
